county_fips,risk_score,expected_annual_loss_score,social_vulnerability_score,community_resilience_score,hazard_specific_mean_score
08005,93.79770992366412,94.95668316831683,18.44783715,49.395674300254456,4233063.626694379
08007,34.478371501272264,27.568069306930692,73.72773537,22.07379134860051,143909.30258618956
08009,23.155216284987276,11.881188118811881,95.7697201,11.354961832061068,231952.67495895954
08011,5.629770992366412,9.003712871287128,12.75445293,4.039440203562341,115836.1008377485
08013,90.71246819338423,92.69801980198021,11.38676845,91.22137404580153,1967307.6321633735
08014,34.70101781170484,55.136138613861384,10.62340967,81.87022900763358,393727.81847294327
08015,51.11323155216285,60.334158415841586,18.12977099,54.80279898218829,79455.44319944266
08017,3.021628498727735,4.981435643564357,18.44783715,19.87913486005089,94983.04125559772
08019,46.723918575063614,61.850247524752476,10.62340967,51.526717557251914,218560.7227322901
08021,22.932569974554706,13.861386138613863,83.84223919,4.516539440203562,77346.29065248607
08023,6.552162849872774,1.949257425742574,96.50127226,0.6361323155216284,41280.50613584965
08025,3.880407124681934,2.691831683168317,61.95928753,10.082697201017812,71685.89087351647
08027,3.912213740458016,8.632425742574256,10.62340967,66.79389312977099,85791.83575301254
08029,51.27226463104325,48.32920792079208,60.0826972,27.035623409669213,123104.40117885431
08031,95.22900763358778,96.50371287128714,17.77989822,68.4796437659033,4943167.175542537
08033,11.323155216284988,10.705445544554456,55.8524173,14.153944020356235,52783.4153314198
08035,88.70865139949109,91.80074257425743,10.62340967,73.69592875318067,2490939.3936791224
08037,76.24045801526718,83.16831683168317,10.62340967,30.025445292620866,107232.81320523983
08039,36.57760814249364,54.331683168316836,10.62340967,60.24173027989822,417082.32186438044
08041,94.05216284987277,96.07054455445545,10.62340967,58.0470737913486,3736576.1880433923
08043,68.57506361323156,64.29455445544554,66.25318066,40.74427480916031,268207.63304195384
08045,64.53562340966921,72.15346534653465,15.42620865,12.30916030534351,161549.34792539134
08047,6.361323155216285,10.891089108910892,12.75445293,79.29389312977099,89889.24104792242
08049,50.19083969465649,60.95297029702971,15.01272265,55.597964376590326,125784.92603417089
08051,44.974554707379134,62.28341584158416,10.62340967,73.60050890585241,46259.209776985976
08053,1.017811704834606,1.732673267326733,10.62340967,23.66412213740458,7100.265887311519
08055,24.236641221374043,15.625,83.49236641,16.603053435114504,63531.11980618971
08057,11.768447837150127,12.716584158415841,44.87913486,17.4618320610687,6199.1812086427835
08059,94.94274809160305,96.53465346534654,11.38676845,66.88931297709924,5678335.83844387
08061,3.784987277353689,6.002475247524752,15.80788804,29.230279898218832,104172.65999340577
